Segment,Kategorie,Jméno produktu,ID Produktu,Výrobce,EAN,Item ID,Vaše URL,Heureka URL,E-shopů prodávajících produkt,Popularita,Vaše cena,Vaše pozice dle ceny,Vaše pozice dle biddingu,Cena za proklik,Nejnižší cena,PriceMin2,PriceMin3,PriceMin4,PriceMin5,PriceMin6,PriceMin7,PriceMin8,PriceMin9,PriceMin10,PriceMax10,PriceMax9,PriceMax8,PriceMax7,PriceMax6,PriceMax5,PriceMax4,PriceMax3,PriceMax2,Nejvyšší cena
"Dům a zahrada","Stahovací pásky","Solight vázací nylonové pásky, 4,8 x 300mm, natural, 100ks, 1P12",333301704,"Solight",8595093331206,"1P12","https://www.solidni-obchod.cz/solight-vazaci-nylonove-pasky-4-8-x-300mm-natural-100ks-detail-KQ30000201.aspx","https://stahovaci-pasky.heureka.cz/solight-1p12-vazaci-nylonove-pasky-4_8x300-mm-100-ks",4,1,81.00,2,,1.20,75.00,81.00,81.00,81.00,,,,,,,,,,,,,75.00,81.00,81.00,81.00,
"Dům a zahrada","Stahovací pásky","Solight vázací nylonové pásky, barva natural, 100ks, 2,5 x 100mm, 1P01",333301719,"Solight",8595094581457,"1P01","https://www.solidni-obchod.cz/solight-vazaci-nylonove-pasky-barva-natural-100ks-2-5-x-100mm-detail-YP30000201.aspx","https://stahovaci-pasky.heureka.cz/solight-1p01-vazaci-nylonove-pasky-2_5x100-mm-100-ks",4,3,11.00,2,,1.20,10.00,11.00,11.00,11.00,,,,,,,,,,,,,10.00,11.00,11.00,11.00,
"Dům a zahrada","Stahovací pásky","Solight vázací nylonové pásky, barva natural, 100ks, 3,6 x 200mm, 1P06",333301718,"Solight",8595094831507,"1P06","https://www.solidni-obchod.cz/solight-vazaci-nylonove-pasky-barva-natural-100ks-3-6-x-200mm-detail-8Q30000201.aspx","https://stahovaci-pasky.heureka.cz/solight-1p06-vazaci-nylonove-pasky-3_6x200-mm-100-ks",4,1,38.00,2,,1.20,35.00,38.00,38.00,38.00,,,,,,,,,,,,,35.00,38.00,38.00,38.00,
"Dům a zahrada","Svítidla","Solight LED kuchyňské svítidlo T5, vypínač, 13W, 4100K, 84cm, WO204",508256798,"Solight",8592718016548,"WO204","https://www.solidni-obchod.cz/solight-led-kuchynske-svitidlo-t5-vypinac-13w-4100k-84cm-detail-3P81000201.aspx","https://svitidla.heureka.cz/solight-wo204",32,63,323.00,4,,2.40,308.55,309.00,320.00,323.00,323.00,323.00,323.00,323.00,323.00,323.00,413.00,425.00,431.00,435.00,448.75,449.00,449.00,457.30,489.00,499.00,
"Dům a zahrada","Svítidla","Solight LED kuchyňské svítidlo T5, vypínač, 9W, 4100K, 54cm, WO203",508256797,"Solight",8592718016531,"WO203","https://www.solidni-obchod.cz/solight-led-kuchynske-svitidlo-t5-vypinac-9w-4100k-54cm-detail-2P81000201.aspx","https://svitidla.heureka.cz/solight-wo203",26,14,251.00,4,,1.20,238.37,239.00,250.00,251.00,251.00,251.00,251.00,251.00,251.00,251.00,287.00,287.00,299.00,301.00,321.00,330.00,335.00,363.75,399.00,409.00,
"Dům a zahrada","Svítidla","Solight LED lineární svítidlo s infra senzorem, 10W, 770lm, 4100K, 60cm, WO206",325113325,"Solight",8592718017514,"WO206","https://www.solidni-obchod.cz/solight-led-linearni-svitidlo-s-infra-senzorem-10w-770lm-4100k-60cm-detail-1WD1000201.aspx","https://svitidla.heureka.cz/solight-wo206",26,54,503.00,5,,2.40,479.00,479.16,480.00,499.00,503.00,503.00,503.00,503.00,503.00,503.00,573.00,604.00,643.00,671.00,687.00,698.75,699.00,699.00,699.00,759.00,
"Dům a zahrada","Svítidla","Solight LED mini panel, podhledový, 12W, 900lm, 3000K, tenký, čtvercový, bílý, WD107",500882733,"Solight",8592718015572,"WD107","https://www.solidni-obchod.cz/solight-led-mini-panel-podhledovy-12w-900lm-3000k-tenky-ctvercovy-bily-detail-3Z41000201.aspx","https://svitidla.heureka.cz/solight-wd107",24,5,237.00,6,,1.20,187.00,194.00,228.90,229.00,234.00,237.00,237.00,237.00,237.00,237.00,240.00,244.00,260.00,261.00,273.00,284.00,323.00,328.75,329.00,329.00,
"Dům a zahrada","Svítidla","Solight LED mini panel, podhledový, 12W, 900lm, 3000K, tenký, kulatý, bílý, WD105",500882734,"Solight",8592718015558,"WD105","https://www.solidni-obchod.cz/solight-led-mini-panel-podhledovy-12w-900lm-3000k-tenky-kulaty-bily-detail-1Z41000201.aspx","https://svitidla.heureka.cz/solight-wd105",27,4,229.00,5,,1.20,222.00,222.40,223.00,227.00,229.00,229.00,229.00,229.00,229.00,229.00,245.00,245.00,252.00,252.00,265.00,275.00,313.00,318.75,319.00,319.00,
"Dům a zahrada","Svítidla","Solight LED mini panel, podhledový, 12W, 900lm, 4000K, tenký, čtvercový, bílý, WD108",501561399,"Solight",8592718015589,"WD108","https://www.solidni-obchod.cz/solight-led-mini-panel-podhledovy-12w-900lm-4000k-tenky-ctvercovy-bily-detail-4Z41000201.aspx","https://svitidla.heureka.cz/solight-wd108",21,5,237.00,4,,1.20,229.00,230.00,234.00,237.00,237.00,237.00,237.00,237.00,237.00,237.00,238.00,239.60,240.00,261.00,273.00,284.00,323.00,328.75,329.00,329.00,
"Dům a zahrada","Svítidla","Solight LED mini panel, podhledový, 12W, 900lm, 4000K, tenký, kulatý, bílý, WD106",500882805,"Solight",8592718015565,"WD106","https://www.solidni-obchod.cz/solight-led-mini-panel-podhledovy-12w-900lm-4000k-tenky-kulaty-bily-detail-2Z41000201.aspx","https://svitidla.heureka.cz/solight-wd106",23,53,229.00,4,,1.20,222.40,226.00,227.00,229.00,229.00,229.00,229.00,229.00,229.00,229.00,230.00,233.00,252.00,252.00,265.00,275.00,313.00,318.75,319.00,319.00,
"Dům a zahrada","Svítidla","Solight LED mini panel, podhledový, 18W, 1530lm, 3000K, tenký, čtvercový, bílý, WD111",500882736,"Solight",8592718015619,"WD111","https://www.solidni-obchod.cz/solight-led-mini-panel-podhledovy-18w-1530lm-3000k-tenky-ctvercovy-bily-detail-7Z41000201.aspx","https://svitidla.heureka.cz/solight-wd111",26,5,316.00,4,,2.40,299.00,313.00,314.00,316.00,316.00,316.00,316.00,316.00,316.00,316.00,329.00,347.00,348.00,359.00,364.00,379.00,431.00,438.75,439.00,439.00,
"Dům a zahrada","Svítidla","Solight LED mini panel, podhledový, 18W, 1530lm, 3000K, tenký, kulatý, bílý, WD109",500882735,"Solight",8592718015596,"WD109","https://www.solidni-obchod.cz/solight-led-mini-panel-podhledovy-18w-1530lm-3000k-tenky-kulaty-bily-detail-5Z41000201.aspx","https://svitidla.heureka.cz/solight-wd109",26,6,301.00,7,,2.40,247.00,248.00,281.00,289.00,299.00,300.70,301.00,301.00,301.00,301.00,321.00,321.00,331.00,331.00,348.00,361.00,412.00,418.75,419.00,419.00,
"Dům a zahrada","Svítidla","Solight LED mini panel, podhledový, 18W, 1530lm, 4000K, tenký, čtvercový, bílý, WD112",500882806,"Solight",8592718015626,"WD112","https://www.solidni-obchod.cz/solight-led-mini-panel-podhledovy-18w-1530lm-4000k-tenky-ctvercovy-bily-detail-8Z41000201.aspx","https://svitidla.heureka.cz/solight-wd112",17,8,316.00,6,,2.40,225.00,250.00,258.00,277.00,314.00,316.00,316.00,316.00,316.00,316.00,316.00,316.00,316.00,319.00,364.00,379.00,431.00,438.75,439.00,439.00,
"Dům a zahrada","Svítidla","Solight LED mini panel, podhledový, 18W, 1530lm, 4000K, tenký, kulatý, bílý, WD110",500882808,"Solight",8592718015602,"WD110","https://www.solidni-obchod.cz/solight-led-mini-panel-podhledovy-18w-1530lm-4000k-tenky-kulaty-bily-detail-6Z41000201.aspx","https://svitidla.heureka.cz/solight-wd110",25,5,301.00,7,,2.40,247.00,248.00,249.00,249.00,288.80,299.00,301.00,301.00,301.00,301.00,302.00,305.00,331.00,331.00,348.00,361.00,412.00,418.75,419.00,419.00,
"Dům a zahrada","Svítidla","Solight LED mini panel, podhledový, 24W, 1800lm, 4000K, tenký, čtvercový, bílé, WD126",500882917,"Solight",8592718019334,"WD126","https://www.solidni-obchod.cz/solight-led-mini-panel-podhledovy-24w-1800lm-4000k-tenky-ctvercovy-bile-detail-2AL1000201.aspx","https://svitidla.heureka.cz/solight-wd126",17,4,546.00,3,,2.40,538.00,543.00,546.00,546.00,546.00,546.00,546.00,546.00,547.00,550.00,546.00,547.00,550.00,599.00,599.00,622.00,630.00,746.00,758.75,759.00,
"Dům a zahrada","Svítidla","Solight LED mini panel, podhledový, 6W, 400lm, 3000K, tenký, čtvercový, bílý, WD103",508139969,"Solight",8592718015534,"WD103","https://www.solidni-obchod.cz/solight-led-mini-panel-podhledovy-6w-400lm-3000k-tenky-ctvercovy-bily-detail-2R41000201.aspx","https://svitidla.heureka.cz/solight-wd103",25,5,165.00,6,,1.20,156.00,158.00,159.00,162.50,163.00,165.00,165.00,165.00,165.00,165.00,168.00,173.00,181.00,181.00,190.00,215.00,225.00,228.75,229.00,229.00,
"Dům a zahrada","Svítidla","Solight LED mini panel, podhledový, 6W, 400lm, 3000K, tenký, kulatý, bílý, WD101",500882732,"Solight",8592718015510,"WD101","https://www.solidni-obchod.cz/solight-led-mini-panel-podhledovy-6w-400lm-3000k-tenky-kulaty-bily-detail-1Q41000201.aspx","https://svitidla.heureka.cz/solight-wd101",23,9,157.00,8,,1.20,127.00,129.00,147.00,147.60,149.00,156.00,156.00,157.00,157.00,157.00,157.00,157.00,157.00,158.00,172.00,182.00,204.00,215.00,219.00,219.00,
"Dům a zahrada","Svítidla","Solight LED mini panel, podhledový, 6W, 400lm, 4000K, tenký, čtvercový, bílý, WD104",520205933,"Solight",8592718015541,"WD104","https://www.solidni-obchod.cz/solight-led-mini-panel-podhledovy-6w-400lm-4000k-tenky-ctvercovy-bily-detail-4R41000201.aspx","https://svitidla.heureka.cz/solight-wd104",18,8,165.00,6,,1.20,158.00,159.00,162.50,163.00,164.00,165.00,165.00,165.00,165.00,165.00,165.00,165.00,165.00,165.00,190.00,215.00,225.00,228.75,229.00,229.00,
"Dům a zahrada","Svítidla","Solight LED mini panel, podhledový, 6W, 400lm, 4000K, tenký, kulatý, bílý, WD102",501561400,"Solight",8592718015527,"WD102","https://www.solidni-obchod.cz/solight-led-mini-panel-podhledovy-6w-400lm-4000k-tenky-kulaty-bily-detail-1R41000201.aspx","https://svitidla.heureka.cz/solight-wd102",21,32,157.00,5,,1.20,134.00,135.00,155.70,156.00,157.00,157.00,157.00,157.00,157.00,157.00,157.00,157.00,157.00,158.00,172.00,182.00,215.00,218.75,219.00,219.00,
"Dům a zahrada","Svítidla","Solight LED nástěnná lampička, stmívatelná, 4W, 280lm, 3000K, bílá, WO54-W",700628486,"Solight",8592718023546,"WO54-W","https://www.solidni-obchod.cz/solight-led-nastenna-lampicka-stmivatelna-4w-280lm-3000k-bila-detail-1R32000201.aspx","https://svitidla.heureka.cz/solight-wo54-w",7,41,307.00,3,,2.40,305.00,306.50,307.00,307.00,307.00,307.00,392.00,,,,,,,305.00,306.50,307.00,307.00,307.00,307.00,392.00,
"Dům a zahrada","Svítidla","Solight LED osvětlení DIAMANT, volitelná chromatičnost, 18W, 1350lm, IP20, WO721",547909857,"Solight",8592718020613,"WO721","https://www.solidni-obchod.cz/solight-led-osvetleni-diamant-volitelna-chromaticnost-18w-1350lm-ip20-detail-1IT1000201.aspx","https://svitidla.heureka.cz/solight-wo721",20,7,467.00,4,,2.40,431.00,431.00,449.00,467.00,467.00,467.00,467.00,467.00,467.00,470.00,489.00,489.00,489.00,537.00,547.00,547.00,589.00,648.75,649.00,649.00,
"Dům a zahrada","Svítidla","Solight LED osvětlení GALAXY, volitelná chromatičnost, 18W, 1350lm, IP20, WO725",547909863,"Solight",8592718020743,"WO725","https://www.solidni-obchod.cz/solight-led-osvetleni-galaxy-volitelna-chromaticnost-18w-1350lm-ip20-detail-16U1000201.aspx","https://svitidla.heureka.cz/solight-wo725",22,41,431.00,3,,2.40,392.04,429.00,431.00,431.00,431.00,431.00,431.00,433.00,435.00,442.00,539.00,539.00,539.00,539.00,560.00,589.00,598.75,599.00,599.00,749.00,
"Dům a zahrada","Svítidla","Solight LED osvětlení prachotěsné, IP65, 36W, 4200lm, 5000K, 123cm, Lifud, 3 roky záruka , WPT-36W-001",588885564,"Solight",8592718021672,"WPT-36W-001","https://www.solidni-obchod.cz/solight-led-osvetleni-prachotesne-ip65-36w-4200lm-5000k-123cm-lifud-3-roky-zaruka--detail-1AV1000201.aspx","https://svitidla.heureka.cz/solight-wpt-36w-001",9,3,890.00,1,,2.40,890.00,890.00,890.00,890.00,890.00,890.00,890.00,1169.00,1452.00,,,890.00,890.00,890.00,890.00,890.00,890.00,890.00,1169.00,1452.00,
"Dům a zahrada","Svítidla","Solight LED osvětlení prachotěsné, IP65, 54W, 6500lm, 5000K, 157cm, Lifud, 3 roky záruka , WPT-54W-001",588885565,"Solight",8592718021689,"WPT-54W-001","https://www.solidni-obchod.cz/solight-led-osvetleni-prachotesne-ip65-54w-6500lm-5000k-157cm-lifud-3-roky-zaruka--detail-2AV1000201.aspx","https://svitidla.heureka.cz/solight-wpt-54w-001",10,4,1186.00,1,,3.60,1186.00,1186.00,1186.00,1186.00,1186.00,1186.00,1559.00,1600.00,1699.00,1936.00,1186.00,1186.00,1186.00,1186.00,1186.00,1186.00,1559.00,1600.00,1699.00,1936.00,
"Dům a zahrada","Svítidla","Solight LED osvětlení s pohybovým senzorem, 18W, 1200lm, 4000K, IP20, WO722",547909858,"Solight",8592718020620,"WO722","https://www.solidni-obchod.cz/solight-led-osvetleni-s-pohybovym-senzorem-18w-1200lm-4000k-ip20-detail-2IT1000201.aspx","https://svitidla.heureka.cz/solight-wo722",11,2,647.00,1,,2.40,647.00,647.00,647.00,647.00,647.00,647.00,650.00,679.00,898.75,899.00,647.00,647.00,647.00,647.00,647.00,650.00,679.00,898.75,899.00,899.00,
"Dům a zahrada","Svítidla","Solight LED panel přisazený, 12W, 900lm, 3000K, čtvercový, bílý, WD114",238103480,"Solight",8592718015640,"WD114","https://www.solidni-obchod.cz/solight-led-panel-prisazeny-12w-900lm-3000k-ctvercovy-bily-detail-AZ41000201.aspx","https://svitidla.heureka.cz/solight-wd114",22,4,287.00,5,,1.20,228.00,235.00,280.00,285.00,287.00,287.00,287.00,287.00,287.00,287.00,287.00,287.00,291.00,315.00,331.00,344.00,392.00,398.75,399.00,399.00,
"Dům a zahrada","Svítidla","Solight LED panel přisazený, 12W, 900lm, 3000K, kulatý, bílý, WD113",238103479,"Solight",8592718015633,"WD113","https://www.solidni-obchod.cz/solight-led-panel-prisazeny-12w-900lm-3000k-kulaty-bily-detail-9Z41000201.aspx","https://svitidla.heureka.cz/solight-wd113",21,5,265.00,8,,1.20,199.00,199.00,199.00,199.00,219.00,259.00,263.00,265.00,265.00,265.00,265.00,265.00,266.00,269.00,306.00,318.00,362.00,368.75,369.00,369.00,
"Dům a zahrada","Svítidla","Solight LED panel přisazený, 12W, 900lm, 4000K, čtvercový, bílý, WD116",238103482,"Solight",8592718015664,"WD116","https://www.solidni-obchod.cz/solight-led-panel-prisazeny-12w-900lm-4000k-ctvercovy-bily-detail-CZ41000201.aspx","https://svitidla.heureka.cz/solight-wd116",20,6,287.00,3,,1.20,284.00,285.00,287.00,287.00,287.00,287.00,287.00,287.00,287.00,287.00,287.00,287.00,287.00,291.00,331.00,344.00,392.00,398.75,399.00,399.00,
"Dům a zahrada","Svítidla","Solight LED panel přisazený, 12W, 900lm, 4000K, kulatý, bílý, WD115",238103481,"Solight",8592718015657,"WD115","https://www.solidni-obchod.cz/solight-led-panel-prisazeny-12w-900lm-4000k-kulaty-bily-detail-BZ41000201.aspx","https://svitidla.heureka.cz/solight-wd115",29,6,265.00,3,,1.20,262.00,263.00,265.00,265.00,265.00,265.00,265.00,265.00,265.00,265.00,282.00,291.00,306.00,318.00,362.00,368.75,369.00,369.00,369.00,369.00,
"Dům a zahrada","Svítidla","Solight LED panel přisazený, 18W, 1530lm, 3000K, čtvercový, bílý, WD118",500882759,"Solight",8592718016845,"WD118","https://www.solidni-obchod.cz/solight-led-panel-prisazeny-18w-1530lm-3000k-ctvercovy-bily-detail-1I91000201.aspx","https://svitidla.heureka.cz/solight-wd118",29,7,409.00,4,,2.40,388.00,406.00,407.00,409.00,409.00,409.00,409.00,409.00,409.00,409.00,450.00,470.00,472.00,491.00,559.00,568.75,569.00,569.00,569.00,569.00,
"Dům a zahrada","Svítidla","Solight LED panel přisazený, 18W, 1530lm, 3000K, kulatý, bílý, WD117",500882760,"Solight",8592718016838,"WD117","https://www.solidni-obchod.cz/solight-led-panel-prisazeny-18w-1530lm-3000k-kulaty-bily-detail-1H91000201.aspx","https://svitidla.heureka.cz/solight-wd117",31,4,388.00,5,,2.40,369.00,384.00,385.00,385.00,388.00,388.00,388.00,388.00,388.00,388.00,427.00,427.00,446.00,448.00,530.00,538.00,538.75,539.00,539.00,539.00,
"Dům a zahrada","Svítidla","Solight LED panel přisazený, 18W, 1530lm, 4000K, čtvercový, bílý, WD120",500882809,"Solight",8592718016869,"WD120","https://www.solidni-obchod.cz/solight-led-panel-prisazeny-18w-1530lm-4000k-ctvercovy-bily-detail-2J91000201.aspx","https://svitidla.heureka.cz/solight-wd120",27,6,409.00,3,,2.40,406.00,407.00,409.00,409.00,409.00,409.00,409.00,409.00,409.00,409.00,450.00,470.00,472.00,491.00,559.00,568.75,569.00,569.00,569.00,569.00,
"Dům a zahrada","Svítidla","Solight LED panel přisazený, 18W, 1530lm, 4000K, kulatý, bílý, WD119",500882807,"Solight",8592718016852,"WD119","https://www.solidni-obchod.cz/solight-led-panel-prisazeny-18w-1530lm-4000k-kulaty-bily-detail-1J91000201.aspx","https://svitidla.heureka.cz/solight-wd119",27,5,388.00,3,,2.40,384.00,385.00,388.00,388.00,388.00,388.00,388.00,388.00,388.00,388.00,399.00,427.00,446.00,448.00,530.00,538.00,538.75,539.00,539.00,539.00,
"Dům a zahrada","Svítidla","Solight LED panel přisazený, 24W, 1800lm, 3000K, čtvercový, bílý, WD122",495059935,"Solight",8592718017682,"WD122","https://www.solidni-obchod.cz/solight-led-panel-prisazeny-24w-1800lm-3000k-ctvercovy-bily-detail-2LC1000201.aspx","https://svitidla.heureka.cz/solight-wd122",23,7,575.00,6,,2.40,448.00,470.00,549.00,569.00,571.00,575.00,575.00,575.00,575.00,575.00,575.00,576.00,579.00,633.00,656.00,663.00,785.00,798.75,799.00,799.00,
"Dům a zahrada","Svítidla","Solight LED panel přisazený, 24W, 1800lm, 4000K, čtvercový, bílý, WD124",495059936,"Solight",8592718017705,"WD124","https://www.solidni-obchod.cz/solight-led-panel-prisazeny-24w-1800lm-4000k-ctvercovy-bily-detail-4LC1000201.aspx","https://svitidla.heureka.cz/solight-wd124",22,32,575.00,3,,2.40,566.00,571.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,575.00,576.00,579.00,633.00,656.00,663.00,690.00,785.00,798.75,799.00,799.00,
"Dům a zahrada","Svítidla","Solight LED panel přisazený, 24W, 1800lm, 4000K, kulatý, bílý, WD123",507506837,"Solight",8592718017699,"WD123","https://www.solidni-obchod.cz/solight-led-panel-prisazeny-24w-1800lm-4000k-kulaty-bily-detail-3LC1000201.aspx","https://svitidla.heureka.cz/solight-wd123",23,5,525.00,6,,2.40,493.00,494.00,521.00,524.00,524.00,525.00,525.00,525.00,525.00,525.00,528.00,549.00,577.00,577.00,599.00,605.00,716.00,728.75,729.00,729.00,
"Dům a zahrada","Svítidla","Solight LED panel s tenkým rámečkem, 16W, 1280lm, 3000K, přisazený, čtvercový, bílý, WD128",673898314,"Solight",8592718023454,"WD128","https://www.solidni-obchod.cz/solight-led-panel-s-tenkym-rameckem-16w-1280lm-3000k-prisazeny-ctvercovy-bily-detail-2542000201.aspx","https://svitidla.heureka.cz/solight-wd128",19,4,337.00,6,,2.40,302.00,303.00,319.44,324.00,336.00,337.00,337.00,337.00,337.00,337.00,337.00,337.00,339.00,341.00,371.00,389.00,468.75,469.00,469.00,469.00,
"Dům a zahrada","Svítidla","Solight LED panel s tenkým rámečkem, 16W, 1280lm, 3000K, přisazený, kulatý, bílý, WD127",673898315,"Solight",8592718023447,"WD127","https://www.solidni-obchod.cz/solight-led-panel-s-tenkym-rameckem-16w-1280lm-3000k-prisazeny-kulaty-bily-detail-1542000201.aspx","https://svitidla.heureka.cz/solight-wd127",19,3,323.00,6,,2.40,289.00,290.00,311.00,319.44,321.00,323.00,323.00,323.00,323.00,323.00,323.00,323.00,326.00,355.00,355.00,373.00,448.75,449.00,449.00,449.00,
"Dům a zahrada","Svítidla","Solight LED panel s tenkým rámečkem, 16W, 1280lm, 4000K, přisazený, čtvercový, bílý, WD130",673898316,"Solight",8592718023478,"WD130","https://www.solidni-obchod.cz/solight-led-panel-s-tenkym-rameckem-16w-1280lm-4000k-prisazeny-ctvercovy-bily-detail-4542000201.aspx","https://svitidla.heureka.cz/solight-wd130",20,32,337.00,5,,2.40,302.00,303.00,319.44,336.00,337.00,337.00,337.00,337.00,337.00,337.00,337.00,337.00,341.00,371.00,371.00,389.00,468.75,469.00,469.00,469.00,
"Dům a zahrada","Svítidla","Solight LED panel s tenkým rámečkem, 16W, 1280lm, 4000K, přisazený, kulatý, bílý, WD129",673898317,"Solight",8592718023461,"WD129","https://www.solidni-obchod.cz/solight-led-panel-s-tenkym-rameckem-16w-1280lm-4000k-prisazeny-kulaty-bily-detail-3542000201.aspx","https://svitidla.heureka.cz/solight-wd129",20,5,323.00,5,,2.40,290.00,299.00,319.44,321.00,323.00,323.00,323.00,323.00,323.00,323.00,323.00,323.00,326.00,355.00,355.00,373.00,448.75,449.00,449.00,449.00,
"Dům a zahrada","Svítidla","Solight LED panel s tenkým rámečkem, 32W, 2560lm, 3000K, přisazený, čtvercový, bílý, WD132",673898318,"Solight",8592718023492,"WD132","https://www.solidni-obchod.cz/solight-led-panel-s-tenkym-rameckem-32w-2560lm-3000k-prisazeny-ctvercovy-bily-detail-1642000201.aspx","https://svitidla.heureka.cz/solight-wd132",20,6,561.00,6,,2.40,499.00,504.00,531.19,556.00,560.00,561.00,561.00,561.00,561.00,561.00,561.00,562.00,564.00,617.00,617.00,647.00,778.75,779.00,779.00,779.00,
"Dům a zahrada","Svítidla","Solight LED panel s tenkým rámečkem, 32W, 2560lm, 3000K, přisazený, kulatý, bílý, WD131",673898319,"Solight",8592718023485,"WD131","https://www.solidni-obchod.cz/solight-led-panel-s-tenkym-rameckem-32w-2560lm-3000k-prisazeny-kulaty-bily-detail-5542000201.aspx","https://svitidla.heureka.cz/solight-wd131",19,3,539.00,4,,2.40,531.00,531.19,536.00,539.00,539.00,539.00,539.00,539.00,539.00,540.00,540.00,543.00,574.00,593.00,593.00,622.00,748.75,749.00,749.00,749.00,
"Dům a zahrada","Svítidla","Solight LED panel s tenkým rámečkem, 32W, 2560lm, 4000K, přisazený, čtvercový, bílý, WD134",673898320,"Solight",8592718023515,"WD134","https://www.solidni-obchod.cz/solight-led-panel-s-tenkym-rameckem-32w-2560lm-4000k-prisazeny-ctvercovy-bily-detail-4642000201.aspx","https://svitidla.heureka.cz/solight-wd134",23,7,561.00,7,,2.40,499.00,504.00,531.19,556.00,559.00,560.00,561.00,561.00,561.00,561.00,561.00,562.00,564.00,617.00,617.00,647.00,778.75,779.00,779.00,779.00,
"Dům a zahrada","Svítidla","Solight LED panel s tenkým rámečkem, 32W, 2560lm, 4000K, přisazený, kulatý, bílý, WD133",673898321,"Solight",8592718023508,"WD133","https://www.solidni-obchod.cz/solight-led-panel-s-tenkym-rameckem-32w-2560lm-4000k-prisazeny-kulaty-bily-detail-3642000201.aspx","https://svitidla.heureka.cz/solight-wd133",21,5,539.00,6,,2.40,484.00,485.00,531.19,535.00,536.00,539.00,539.00,539.00,539.00,539.00,539.00,540.00,543.00,593.00,593.00,622.00,748.75,749.00,749.00,749.00,
"Dům a zahrada","Svítidla","Solight LED podhledové svítidlo, 6W, 420lm, 4000K, IP44, čtvercové, WD136",693348235,"Solight",8592718023768,"WD136","https://www.solidni-obchod.cz/solight-led-podhledove-svitidlo-6w-420lm-4000k-ip44-ctvercove-detail-1M42000201.aspx","https://svitidla.heureka.cz/solight-wd136",13,3,337.00,2,,2.40,336.00,337.00,337.00,337.00,337.00,337.00,337.00,341.00,371.00,371.00,337.00,337.00,337.00,337.00,341.00,371.00,371.00,468.75,469.00,469.00,
"Dům a zahrada","Svítidla","Solight LED podhledové svítidlo, 6W, 420lm, 4000K, IP44, kulaté, WD135",693348234,"Solight",8592718023751,"WD135","https://www.solidni-obchod.cz/solight-led-podhledove-svitidlo-6w-420lm-4000k-ip44-kulate-detail-1L42000201.aspx","https://svitidla.heureka.cz/solight-wd135",14,3,337.00,2,,2.40,336.00,337.00,337.00,337.00,337.00,337.00,337.00,337.00,341.00,371.00,337.00,337.00,337.00,337.00,341.00,371.00,389.00,468.75,469.00,469.00,
"Dům a zahrada","Svítidla","Solight LED stropní lineární svítidlo s krytím IP44, 48W, 3800lm, 4000K, 120cm, WO743",679702628,"Solight",8592718023744,"WO743","https://www.solidni-obchod.cz/solight-led-stropni-linearni-svitidlo-s-krytim-ip44-48w-3800lm-4000k-120cm-detail-1W42000201.aspx","https://svitidla.heureka.cz/solight-wo743",10,2,1152.00,2,,3.60,1133.00,1152.00,1152.00,1152.00,1152.00,1152.00,1598.75,1599.00,1599.00,1599.00,1133.00,1152.00,1152.00,1152.00,1152.00,1152.00,1598.75,1599.00,1599.00,1599.00,
"Dům a zahrada","Svítidla","Solight LED stropní světlo Wave, 30W, 2300lm, stmívatelné, změna chromatičnosti, dálkové ovládání, WO736",640091387,"Solight",8592718022839,"WO736","https://www.solidni-obchod.cz/solight-led-stropni-svetlo-wave-30w-2300lm-stmivatelne-zmena-chromaticnosti-dalkove-ovladani-detail-3912000201.aspx","https://svitidla.heureka.cz/solight-wo736",25,97,1152.00,6,,3.60,1089.00,1099.00,1119.00,1119.00,1147.30,1152.00,1152.00,1152.00,1152.00,1152.00,1233.00,1255.00,1312.00,1312.18,1406.00,1598.75,1599.00,1599.00,1599.00,1599.00,
"Dům a zahrada","Svítidla","Solight LED stropní světlo Wave, 60W, 4200lm, stmívatelné, změna chromatičnosti, dálkové ovládání, WO735",640091388,"Solight",8592718022822,"WO735","https://www.solidni-obchod.cz/solight-led-stropni-svetlo-wave-60w-4200lm-stmivatelne-zmena-chromaticnosti-dalkove-ovladani-detail-1912000201.aspx","https://svitidla.heureka.cz/solight-wo735",18,97,1584.00,5,,3.60,1489.00,1499.00,1549.00,1549.00,1584.00,1584.00,1584.00,1584.00,1584.00,1587.00,1584.00,1587.00,1590.00,1621.00,1694.20,2009.00,2198.75,2199.00,2199.00,2199.00,
"Dům a zahrada","Svítidla","Solight LED stropní světlo, 3-stupňové stmívání, , 32W, 2240lm, 4000K, kulaté, 38cm, WO727",577275465,"Solight",8592718021184,"WO727","https://www.solidni-obchod.cz/solight-led-stropni-svetlo-3-stupnove-stmivani--32w-2240lm-4000k-kulate-38cm-detail-39U1000201.aspx","https://svitidla.heureka.cz/solight-wo727",16,8,503.00,1,,2.40,503.00,503.00,503.00,503.00,503.00,503.00,503.00,505.00,515.00,542.80,503.00,505.00,515.00,542.80,573.00,643.00,687.00,698.75,699.00,699.00,
