Segment,Kategorie,Jméno produktu,ID Produktu,Výrobce,EAN,Item ID,Vaše URL,Heureka URL,E-shopů prodávajících produkt,Popularita,Vaše cena,Vaše pozice dle ceny,Vaše pozice dle biddingu,Cena za proklik,Nejnižší cena,PriceMin2,PriceMin3,PriceMin4,PriceMin5,PriceMin6,PriceMin7,PriceMin8,PriceMin9,PriceMin10,PriceMax10,PriceMax9,PriceMax8,PriceMax7,PriceMax6,PriceMax5,PriceMax4,PriceMax3,PriceMax2,Nejvyšší cena
"Bílé zboží","Domácí ventilátory","Dyson stolní ventilátor AM06 30 cm - bílá/stříbrá",199785838,"Dyson",5025155017807,"DS-300895-01","https://www.solidni-obchod.cz/dyson-stolni-ventilator-am06-30-cm--bila-stribra-detail-1W31000201.aspx","https://ventilatory.heureka.cz/dyson-am06",12,44,8999.00,8,,5.00,7990.00,7990.00,7990.00,7990.00,7990.00,7990.00,7990.01,8999.00,8999.00,8999.00,7990.00,7990.00,7990.00,7990.00,7990.01,8999.00,8999.00,8999.00,8999.00,8999.00,
"Bílé zboží","Domácí ventilátory","Solight ventilátor stojanový 40cm",639563836,"Solight",8592718022204,"1S22","https://www.solidni-obchod.cz/solight-ventilator-stojanovy-40cm-detail-1302000201.aspx","https://ventilatory.heureka.cz/solight-1s22",7,77,710.00,4,,5.00,499.00,616.00,699.00,710.00,710.00,710.00,729.00,,,,,,,499.00,616.00,699.00,710.00,710.00,710.00,729.00,
"Bílé zboží","Domácí ventilátory","Solight ventilátor stolní 30cm",638615716,"Solight",8592718022198,"1S21","https://www.solidni-obchod.cz/solight-ventilator-stolni-30cm-detail-1202000201.aspx","https://ventilatory.heureka.cz/solight-1s21",8,42,632.00,7,,5.00,399.00,459.00,460.00,462.00,548.00,575.00,632.00,632.00,,,,,399.00,459.00,460.00,462.00,548.00,575.00,632.00,632.00,
"Bílé zboží","Elektrické hrnce","Morphy Richards digitální polévkovač 1,6l",403400126,"Morphy Richards",5011832050380,"MR-501014","https://www.solidni-obchod.cz/morphy-richards-digitalni-polevkovac-1-6l-detail-QFK1000201.aspx","https://elektricke-hrnce.heureka.cz/morphy-richards-mr-501014",14,6,2599.00,1,,6.00,2599.00,2599.00,2599.00,2599.00,2599.00,2599.00,2599.00,2599.00,2599.00,2778.00,2599.00,2599.00,2599.00,2599.00,2599.00,2778.00,2778.00,3159.00,3159.00,3362.50,
"Bílé zboží","Elektrické hrnce","Morphy Richards Total Control polévkovač",613449432,"Morphy Richards",5011832052797,"MR-501020","https://www.solidni-obchod.cz/morphy-richards-total-control-polevkovac-detail-1N02000201.aspx","https://elektricke-hrnce.heureka.cz/morphy-richards-total-control-polevkovac",10,7,3599.00,3,,5.00,3462.00,3462.00,3599.00,3599.00,3599.00,3599.00,3599.00,3599.00,3599.00,4327.50,3462.00,3462.00,3599.00,3599.00,3599.00,3599.00,3599.00,3599.00,3599.00,4327.50,
"Bílé zboží","Hadice pro vysavače","Dyson prodlužovací hadice pro V7/V8/V10/V11",749638657,"Dyson",5025155028384,"DS-967764-02","https://www.solidni-obchod.cz/dyson-prodluzovaci-hadice-pro-v7-v8-v10-v11-detail-1XY1000201.aspx","https://hadice-vysavac.heureka.cz/dyson-v7-v8-v10-v11",2,4,999.00,1,,2.30,999.00,999.00,,,,,,,,,,,,,,,,,999.00,999.00,
"Bílé zboží","Hubice a kartáče k vysavačům","Dyson antialergická sada",210555910,"Dyson",5025155008362,"DS-916130-07","https://www.solidni-obchod.cz/dyson-antialergicka-sada-detail-OUH0000201.aspx","https://hubice-kartace--vysavacum.heureka.cz/ds-916130-07-dyson-antialergicka-sada",6,2,2599.00,1,,3.13,2599.00,2599.00,2599.00,2599.00,2599.00,2699.00,,,,,,,,,2599.00,2599.00,2599.00,2599.00,2599.00,2699.00,
"Bílé zboží","Hubice a kartáče k vysavačům","Dyson Fluffy hubice na hladké podlahy pro akumulátorové vysavače DC62 a V6",542234272,"Dyson",5025155021910,"DS-966724-03","https://www.solidni-obchod.cz/dyson-fluffy-hubice-na-hladke-podlahy-pro-akumulatorove-vysavace-dc62-a-v6-detail-1JM1000201.aspx","https://hubice-kartace--vysavacum.heureka.cz/dyson-fluffy",5,7,2599.00,1,,5.00,2599.00,2599.00,2599.00,2599.00,2699.00,,,,,,,,,,,2599.00,2599.00,2599.00,2599.00,2699.00,
"Bílé zboží","Hubice a kartáče k vysavačům","Dyson hubice na matrace",210555905,"Dyson",5025155004371,"DS-908940-08","https://www.solidni-obchod.cz/dyson-hubice-na-matrace-detail-8UH0000201.aspx","https://hubice-kartace--vysavacum.heureka.cz/ds-908940-08-dyson-na-matrace",6,5,649.00,1,,2.50,649.00,649.00,649.00,649.00,699.00,705.00,,,,,,,,,649.00,649.00,649.00,649.00,699.00,705.00,
"Bílé zboží","Hubice a kartáče k vysavačům","Dyson hubice na matrace pro V7/V8/V10/V11",749638654,"Dyson",5025155027493,"DS-967763-02","https://www.solidni-obchod.cz/dyson-hubice-na-matrace-pro-v7-v8-v10-v11-detail-4XY1000201.aspx","https://hubice-kartace--vysavacum.heureka.cz/dyson-v7-v8-v10-v11",2,5,499.00,1,,5.00,499.00,699.00,,,,,,,,,,,,,,,,,499.00,699.00,
"Bílé zboží","Hubice a kartáče k vysavačům","Dyson jemný mini kartáč na prach pro V7/V8/V10/V11",749638654,"Dyson",5025155028360,"DS-967766-02","https://www.solidni-obchod.cz/dyson-jemny-mini-kartac-na-prach-pro-v7-v8-v10-v11-detail-2XY1000201.aspx","https://hubice-kartace--vysavacum.heureka.cz/dyson-v7-v8-v10-v11",2,5,499.00,1,,5.00,499.00,699.00,,,,,,,,,,,,,,,,,499.00,699.00,
"Bílé zboží","Hubice a kartáče k vysavačům","Dyson kartáč na odolné nečistoty pro V7/V8/V10/V11",749638654,"Dyson",5025155027516,"DS-967765-02","https://www.solidni-obchod.cz/dyson-kartac-na-odolne-necistoty-pro-v7-v8-v10-v11-detail-1YY1000201.aspx","https://hubice-kartace--vysavacum.heureka.cz/dyson-v7-v8-v10-v11",2,5,499.00,1,,5.00,499.00,699.00,,,,,,,,,,,,,,,,,499.00,699.00,
"Bílé zboží","Hubice a kartáče k vysavačům","Dyson kartáč na srst",210555914,"Dyson",5025155010921,"DS-921000-01","https://www.solidni-obchod.cz/dyson-kartac-na-srst-detail-2UH0000201.aspx","https://hubice-kartace--vysavacum.heureka.cz/dyson-ds-921000-01-kartac-na-srst",4,5,1299.00,1,,3.13,1299.00,1299.00,1299.00,1299.00,,,,,,,,,,,,,1299.00,1299.00,1299.00,1299.00,
"Bílé zboží","Hubice a kartáče k vysavačům","Dyson kloubová hubice na hladké a plovoucí podlahy",191270851,"Dyson",5025155009888,"DS-920018-04","https://www.solidni-obchod.cz/dyson-kloubova-hubice-na-hladke-a-plovouci-podlahy-detail-GUH0000201.aspx","https://hubice-kartace--vysavacum.heureka.cz/ds-920018-04-dyson-kloubova-na-hladke-a-plovouci-podlahy",6,48,1299.00,1,,3.13,1299.00,1299.00,1299.00,1299.00,1364.00,1399.00,,,,,,,,,1299.00,1299.00,1299.00,1299.00,1364.00,1399.00,
"Bílé zboží","Hubice a kartáče k vysavačům","Dyson plochá hubice",210555908,"Dyson",5025155005989,"DS-914606-04","https://www.solidni-obchod.cz/dyson-plocha-hubice-detail-EUH0000201.aspx","https://hubice-kartace--vysavacum.heureka.cz/ds-914606-04-dyson-plocha",5,6,1299.00,1,,3.13,1299.00,1299.00,1299.00,1299.00,1299.00,,,,,,,,,,,1299.00,1299.00,1299.00,1299.00,1299.00,
"Bílé zboží","Hubice a kartáče k vysavačům","Dyson pružná štěrbinová hubice",210555903,"Dyson",5025155003510,"DS-908032-09","https://www.solidni-obchod.cz/dyson-pruzna-sterbinova-hubice-detail-CUH0000201.aspx","https://hubice-kartace--vysavacum.heureka.cz/ds-908032-09-dyson-pruzna-sterbinova",6,32,1299.00,1,,5.00,1299.00,1299.00,1299.00,1299.00,1399.00,1399.00,,,,,,,,,1299.00,1299.00,1299.00,1299.00,1399.00,1399.00,
"Bílé zboží","Hubice a kartáče k vysavačům","Dyson sada na domácí čištění",210555907,"Dyson",5025155007181,"DS-912772-04","https://www.solidni-obchod.cz/dyson-sada-na-domaci-cisteni-detail-QUH0000201.aspx","https://hubice-kartace--vysavacum.heureka.cz/ds-912772-04-dyson-sada-na-domaci-cisteni",6,3,2599.00,2,,5.00,1249.00,2599.00,2599.00,2599.00,2599.00,2699.00,,,,,,,,,1249.00,2599.00,2599.00,2599.00,2599.00,2699.00,
"Bílé zboží","Hubice a kartáče k vysavačům","Dyson sada pro ruční vysavače",210555912,"Dyson",5025155009550,"DS-919648-02","https://www.solidni-obchod.cz/dyson-sada-pro-rucni-vysavace-detail-1GJ0000201.aspx","https://hubice-kartace--vysavacum.heureka.cz/ds-919648-02-dyson-sada-pro-rucni-vysavace",6,2,2599.00,1,,5.00,2599.00,2599.00,2599.00,2599.00,2699.00,2699.00,,,,,,,,,2599.00,2599.00,2599.00,2599.00,2699.00,2699.00,
"Bílé zboží","Hubice a kartáče k vysavačům","Dyson sada příslušenství pro V7/V8/V10/V11",749638654,"Dyson",5025155028391,"DS-967768-02","https://www.solidni-obchod.cz/dyson-sada-prislusenstvi-pro-v7-v8-v10-v11-detail-3XY1000201.aspx","https://hubice-kartace--vysavacum.heureka.cz/dyson-v7-v8-v10-v11",2,5,1999.00,2,,5.00,699.00,1999.00,,,,,,,,,,,,,,,,,699.00,1999.00,
"Bílé zboží","Hubice a kartáče k vysavačům","Dyson Tangle free mini turbo kartáč",210555915,"Dyson",5025155014158,"DS-925067-01","https://www.solidni-obchod.cz/dyson-tangle-free-mini-turbo-kartac-detail-1PZ0000201.aspx","https://hubice-kartace--vysavacum.heureka.cz/ds-925067-01-dyson-tangle-free-mini-turbo-kartac",5,6,1899.00,1,,5.00,1899.00,1899.00,1899.00,1899.00,1999.00,,,,,,,,,,,1899.00,1899.00,1899.00,1899.00,1999.00,
"Bílé zboží","Kávovary, čajovary, espressa","Morphy Richards digitální čajovar Tea Maker, MR-43970",27083407,"Morphy Richards",5011832033581,"MR-43970","https://www.solidni-obchod.cz/morphy-richards-digitalni-cajovar-tea-maker-detail-JCK1000201.aspx","https://kavovary-cajovary-espressa.heureka.cz/morphy-richards-43970",13,53,3499.00,6,,6.00,2788.00,2788.00,2788.00,2788.00,3399.00,3499.00,3499.00,3499.00,3499.00,3499.00,2788.00,3399.00,3499.00,3499.00,3499.00,3499.00,3499.00,3741.00,3741.00,4527.50,
"Bílé zboží","Kuchyňské roboty","Morphy Richards Total Control skládací robot, MR-400405",354688161,"Morphy Richards",5011832050236,"MR-400405","https://www.solidni-obchod.cz/morphy-richards-total-control-skladaci-robot-detail-KFK1000201.aspx","https://kuchynske-roboty.heureka.cz/morphy-richards-400405",5,4,3399.00,1,,5.00,3399.00,3399.00,3399.00,3399.00,4149.00,,,,,,,,,,,3399.00,3399.00,3399.00,3399.00,4149.00,
"Bílé zboží","Kuchyňské váhy","Morphy Richards Kuchyňská váha, MR-46185",722401409,"Morphy Richards",5011832040763,"MR-46185","https://www.solidni-obchod.cz/morphy-richards-kuchynska-vaha-detail-1JO1000201.aspx","https://kuchynske-vahy.heureka.cz/morphy-richards-46185",7,4,399.00,1,,2.30,399.00,399.00,427.00,427.00,452.00,452.00,491.25,,,,,,,399.00,399.00,427.00,427.00,452.00,452.00,491.25,
"Bílé zboží","Kulmy a vysoušeče vlasů","Dyson Supersonic Exclusive vysoušeč vlasů (šedá/fuchsiová)",459787153,"Dyson",5025155026946,"DS-305971-01","https://www.solidni-obchod.cz/dyson-supersonic-exclusive-vysousec-vlasu--seda-fuchsiova--detail-4CQ1000201.aspx","https://kulmy.heureka.cz/dyson-supersonic-ds-305967-01",6,98,13499.00,6,,6.90,10790.00,10790.00,10790.01,10799.00,10799.00,13499.00,,,,,,,,,10790.00,10790.00,10790.01,10799.00,10799.00,13499.00,
"Bílé zboží","Kulmy a vysoušeče vlasů","Dyson Supersonic vysoušeč vlasů (černá/šedá)",727520398,"Dyson",5025155036709,"DS-316464-01","https://www.solidni-obchod.cz/dyson-supersonic-vysousec-vlasu-cerna-seda--detail-1872000201.aspx","https://kulmy.heureka.cz/dyson-supersonic-fen",4,12,10790.00,1,,6.90,10790.00,10790.00,10799.00,10799.00,,,,,,,,,,,,,10790.00,10790.00,10799.00,10799.00,
"Bílé zboží","Kulmy a vysoušeče vlasů","Dyson Supersonic vysoušeč vlasů (šedá/fuchsiová)",459787153,"Dyson",5025155024997,"DS-305967-01","https://www.solidni-obchod.cz/dyson-supersonic-vysousec-vlasu-seda-fuchsiova--detail-23Q1000201.aspx","https://kulmy.heureka.cz/dyson-supersonic-ds-305967-01",6,98,10790.00,1,,6.90,10790.00,10790.00,10790.00,10790.01,10799.00,10799.00,,,,,,,,,10790.00,10790.00,10790.00,10790.01,10799.00,10799.00,
"Bílé zboží","Meteostanice","Solight meteostanice, černobílý displej, modré podsvícení, vniřtní/venkovní teplota, vnitřní/venkovní vlhkost, černá/bílá, TE83",628035162,"Solight",8592718021849,"TE83","https://www.solidni-obchod.cz/solight-meteostanice-cernobily-displej-modre-podsviceni-vnirtni-venkovni-teplota-vnitrni-venkovni-vlhkost-cerna-bila-detail-3LY1000201.aspx","https://meteorologicke-stanice.heureka.cz/solight-te-83",31,54,345.00,4,1.0,5.00,297.70,343.00,344.00,345.00,345.00,345.00,345.00,345.00,345.00,345.00,449.00,449.00,451.00,498.75,499.00,499.00,499.00,499.00,570.00,599.00,
"Bílé zboží","Meteostanice","Solight meteostanice, extra velký barevný LCD, teplota, vlhkost, tlak, RCC, černá-stříbrná, TE76",467396776,"Solight",8592718019372,"TE76","https://www.solidni-obchod.cz/solight-meteostanice-extra-velky-barevny-lcd-teplota-vlhkost-tlak-rcc-cerna-stribrna-detail-3NL1000201.aspx","https://meteorologicke-stanice.heureka.cz/solight-te76",4,116,1038.00,1,1.0,5.00,1038.00,1149.00,1149.00,1182.00,,,,,,,,,,,,,1038.00,1149.00,1149.00,1182.00,
"Bílé zboží","Meteostanice","Solight meteostanice, extra velký barevný LCD, teplota, vlhkost, tlak, RCC, USb nabíjení, černá, TE81",655399718,"Solight",8592718020262,"TE81","https://www.solidni-obchod.cz/solight-meteostanice-extra-velky-barevny-lcd-teplota-vlhkost-tlak-rcc-usb-nabijeni-cerna-detail-3XZ1000201.aspx","https://meteorologicke-stanice.heureka.cz/solight-te-81",16,149,1038.00,3,1.0,5.00,1029.00,1034.00,1038.00,1038.00,1038.00,1038.00,1064.00,1142.00,1182.00,1182.00,1064.00,1142.00,1182.00,1182.00,1182.00,1356.00,1498.75,1499.00,1499.00,1499.00,
"Bílé zboží","Meteostanice","Solight meteostanice, LCD s volitelnou barvou podsvícení, vnitřní/venkovní teplota, RCC, černá/stříbrná, TE85",655399719,"Solight",8592718022655,"TE85","https://www.solidni-obchod.cz/solight-meteostanice-lcd-s-volitelnou-barvou-podsviceni-vnitrni-venkovni-teplota-rcc-cerna-stribrna-detail-4XZ1000201.aspx","https://meteorologicke-stanice.heureka.cz/solight-te-85",26,48,588.00,4,1.0,5.00,549.00,550.00,559.00,588.00,588.00,588.00,588.00,588.00,588.00,588.00,647.00,669.00,689.00,689.00,689.00,699.00,848.75,849.00,849.00,1001.00,
"Bílé zboží","Meteostanice","Solight meteostanice, velký dotykový barevný LCD, vnitřní/venkovní teplota, vlhkost, bílá, TE84",628035163,"Solight",8592718021856,"TE84","https://www.solidni-obchod.cz/solight-meteostanice-velky-dotykovy-barevny-lcd-vnitrni-venkovni-teplota-vlhkost-bila-detail-4LY1000201.aspx","https://meteorologicke-stanice.heureka.cz/solight-te-84",26,8,692.00,6,1.0,5.00,629.00,671.00,671.00,671.00,690.00,692.00,692.00,692.00,692.00,692.00,727.00,761.00,761.00,788.00,998.75,999.00,999.00,999.00,999.00,1001.00,
"Bílé zboží","Meteostanice","Solight meteostanice, velký LCD s volitelnou barvou podsvícení, vnitřní/venkovní teplota, vlhkost, RCC, černá, TE86",655399720,"Solight",8592718022662,"TE86","https://www.solidni-obchod.cz/solight-meteostanice-velky-lcd-s-volitelnou-barvou-podsviceni-vnitrni-venkovni-teplota-vlhkost-rcc-cerna-detail-2XZ1000201.aspx","https://meteorologicke-stanice.heureka.cz/solight-te-86",27,90,830.00,4,1.0,5.00,769.00,789.00,828.00,830.00,830.00,830.00,830.00,830.00,830.00,830.00,899.00,913.00,913.00,990.00,999.00,1024.00,1085.00,1198.75,1199.00,1199.00,
"Bílé zboží","Mixéry a šlehače","Morphy Richards mixér Blend Express, MR-403035",549985550,"Morphy Richards",5011832055576,"MR-403035","https://www.solidni-obchod.cz/morphy-richards-mixer-blend-express-detail-1VT1000201.aspx","https://mixery.heureka.cz/morphy-richards-403035",6,41,999.00,2,,5.00,998.75,999.00,999.00,999.00,999.00,999.00,,,,,,,,,998.75,999.00,999.00,999.00,999.00,999.00,
"Bílé zboží","Mixéry a šlehače","Morphy Richards Total Control ruční mixér",409611887,"Morphy Richards",5011832052216,"MR-400505","https://www.solidni-obchod.cz/morphy-richards-total-control-rucni-mixer-detail-1EN1000201.aspx","https://mixery.heureka.cz/morphy-richards-400505",12,4,2099.00,2,,5.00,2098.75,2099.00,2099.00,2099.00,2099.00,2099.00,2099.00,2099.00,2099.00,2099.00,2099.00,2099.00,2099.00,2099.00,2099.00,2099.00,2099.00,2099.00,2099.00,2349.00,
"Bílé zboží","Mixéry a šlehače","Morphy Richards Total Control tyčový mixér",364329027,"Morphy Richards",5011832049148,"MR-402050","https://www.solidni-obchod.cz/morphy-richards-total-control-tycovy-mixer-detail-IFK1000201.aspx","https://mixery.heureka.cz/morphy-richards-402052",12,6,1399.00,1,,5.00,1399.00,1399.00,1399.00,1399.00,1399.00,1399.00,1408.00,1408.00,1549.00,2249.00,1399.00,1399.00,1399.00,1399.00,1408.00,1408.00,1549.00,2249.00,2249.00,2499.00,
"Bílé zboží","Mixéry a šlehače","Morphy Richards Total Control tyčový mixér set Workcenter",364329029,"Morphy Richards",5011832049186,"MR-402054","https://www.solidni-obchod.cz/morphy-richards-total-control-tycovy-mixer-set-workcenter-detail-ICK1000201.aspx","https://mixery.heureka.cz/morphy-richards-402054",12,4,2499.00,1,,5.00,2499.00,2499.00,2499.00,2499.00,2499.00,2499.00,2499.00,2499.00,2699.00,2699.00,2499.00,2499.00,2499.00,2499.00,2499.00,2499.00,2699.00,2699.00,2699.00,2999.00,
"Bílé zboží","Parní čističe","Morphy Richards 9v1 Steam cleaner - parní mop",148956494,"Morphy Richards",5011832043474,"MR-720020","https://www.solidni-obchod.cz/morphy-richards-9v1-steam-cleaner--parni-mop-detail-WFK1000201.aspx","https://parni-cistice.heureka.cz/morphy-richards-720020-9in1-steam-cleaner",14,59,2999.00,1,,6.00,2999.00,2999.00,2999.00,2999.00,2999.00,2999.00,2999.00,2999.00,2999.00,2999.00,2999.00,2999.00,2999.00,2999.00,2999.00,2999.00,2999.00,3206.00,3206.00,3686.25,
"Bílé zboží","Parní hrnce","Morphy Richards Intellisteam parní hrnec",3434720,"Morphy Richards",5011832027856,"MR-48780","https://www.solidni-obchod.cz/morphy-richards-intellisteam-parni-hrnec-detail-OFK1000201.aspx","https://parni-hrnce.heureka.cz/morphy-richards-48780",9,120,3999.00,4,,6.00,2999.00,3390.00,3588.00,3999.00,3999.00,3999.00,3999.00,3999.00,3999.00,,,2999.00,3390.00,3588.00,3999.00,3999.00,3999.00,3999.00,3999.00,3999.00,
"Bílé zboží","Rychlovarné konvice","Morphy Richards konvice A:Spect Titanium, MR-100004",361921714,"Morphy Richards",5011832050502,"MR-100004","https://www.solidni-obchod.cz/morphy-richards-konvice-a-spect-titanium-detail-6FK1000201.aspx","https://rychlovarne-konvice.heureka.cz/morphy-richards-100004",13,7,1889.00,2,,6.00,1399.00,1889.00,1889.00,1889.00,2272.00,2272.00,2399.00,2399.00,2399.00,2399.00,1889.00,2272.00,2272.00,2399.00,2399.00,2399.00,2399.00,2399.00,2499.00,2699.00,
"Bílé zboží","Rychlovarné konvice","Morphy Richards konvice Accents retro Brushed, MR-102022",349112752,"Morphy Richards",5011832050953,"MR-102022","https://www.solidni-obchod.cz/morphy-richards-konvice-accents-retro-brushed-detail-2FK1000201.aspx","https://rychlovarne-konvice.heureka.cz/morphy-richards-102022",13,6,1749.00,1,,6.00,1749.00,1749.00,1749.00,1749.00,1749.00,1749.00,1749.00,1749.00,1749.00,1749.00,1749.00,1749.00,1749.00,1749.00,1749.00,1749.00,1749.00,1799.00,1799.00,1999.00,
"Bílé zboží","Rychlovarné konvice","Morphy Richards konvice Accents retro Red, MR-102004",253343374,"Morphy Richards",5011832049230,"MR-102004","https://www.solidni-obchod.cz/morphy-richards-konvice-accents-retro-red-detail-1WK1000201.aspx","https://rychlovarne-konvice.heureka.cz/morphy-richards-102004",15,6,1749.00,1,,6.00,1749.00,1749.00,1749.00,1749.00,1749.00,1749.00,1749.00,1749.00,1749.00,1749.00,1749.00,1749.00,1749.00,1749.00,1749.00,1749.00,1799.00,1799.00,1999.00,1999.00,
